Timestep;NBPresence;NBPresencePercentage
685;16;0,307692308
686;17;0,326923077
687;17;0,326923077
688;18;0,346153846
689;17;0,326923077
690;18;0,346153846
691;15;0,288461538
692;16;0,307692308
693;13;0,25
694;13;0,25
695;15;0,288461538
696;15;0,288461538
697;18;0,346153846
698;17;0,326923077
699;20;0,384615385
700;19;0,365384615
701;17;0,326923077
702;19;0,365384615
703;19;0,365384615
704;19;0,365384615
705;20;0,384615385
706;23;0,442307692
707;23;0,442307692
708;22;0,423076923
709;23;0,442307692
710;22;0,423076923
711;23;0,442307692
712;18;0,346153846
713;15;0,288461538
714;17;0,326923077
715;15;0,288461538
716;14;0,269230769
717;14;0,269230769
718;12;0,230769231
719;10;0,192307692
720;12;0,230769231
721;11;0,211538462
722;12;0,230769231
723;12;0,230769231
724;11;0,211538462
725;9;0,173076923
726;11;0,211538462
727;15;0,288461538
728;16;0,307692308
729;17;0,326923077
730;18;0,346153846
731;17;0,326923077
732;21;0,403846154
733;21;0,403846154
734;19;0,365384615
735;20;0,384615385
736;22;0,423076923
737;21;0,403846154
738;19;0,365384615
739;20;0,384615385
740;20;0,384615385
741;21;0,403846154
742;21;0,403846154
743;23;0,442307692
744;23;0,442307692
745;24;0,461538462
746;22;0,423076923
747;19;0,365384615
748;16;0,307692308
749;19;0,365384615
750;19;0,365384615
751;16;0,307692308
752;17;0,326923077
753;17;0,326923077
754;16;0,307692308
755;15;0,288461538
756;13;0,25
757;14;0,269230769
758;13;0,25
759;16;0,307692308
760;17;0,326923077
761;18;0,346153846
762;23;0,442307692
763;22;0,423076923
764;22;0,423076923
765;19;0,365384615
766;21;0,403846154
767;21;0,403846154
768;22;0,423076923
769;24;0,461538462
770;24;0,461538462
771;25;0,480769231
772;22;0,423076923
773;20;0,384615385
774;21;0,403846154
775;23;0,442307692
776;20;0,384615385
777;20;0,384615385
778;17;0,326923077
779;19;0,365384615
780;18;0,346153846
781;17;0,326923077
782;16;0,307692308
783;15;0,288461538
784;17;0,326923077
785;14;0,269230769
786;14;0,269230769
787;12;0,230769231
788;13;0,25
789;11;0,211538462
